t,ret_semanal_cmc200
t1,0.349276541
t2,-0.095864271
t3,-0.140068143
t4,0.150947101
t5,0.116485141
t6,0.221237077
t7,0.149792015
t8,-0.219649001
t9,0.067759252
t10,0.146407424
t11,0.035002412
t12,-0.06367824
t13,0.092868877
t14,0.021270004
t15,0.122400003
t16,-0.180789209
t17,0.139410389
t18,0.096646723
t19,-0.047416385
t20,-0.409218863
t21,-0.033776816
t22,0.095500367
t23,-0.074117627
t24,-0.04072756
t25,-0.135941397
t26,0.056090888
t27,0.025206325
t28,-0.093433184
t29,0.039525879
t30,0.184867126
t31,0.086346011
t32,0.127863798
t33,0.038828268
t34,0.001494772
t35,0.058611766
t36,-0.139240304
t37,0.048984133
t38,-0.108130098
t39,0.104184208
t40,0.096757366
t41,0.097367396
t42,0.000718137
t43,0.052306837
t44,-0.002277772
t45,0.040867628
t46,-0.091488073
t47,-0.055589135
t48,0.001126301
t49,-0.099396014
t50,-0.040985031
t51,0.080870158
t52,-0.099376704
t53,-0.115365566
t54,-0.001401034
t55,-0.192590314
t56,0.006013628
t57,0.092465464
t58,0.030311465
t59,-0.057174831
t60,-0.032442887
t61,-0.003271026
t62,-0.017454325
t63,0.086716134
t64,0.068548782
t65,0.064132243
t66,-0.078167542
t67,-0.068671702
t68,-0.0120605
t69,-0.039254316
t70,-0.061926361
t71,-0.219034744
t72,-0.033462154
t73,-0.038477153
t74,0.024909556
t75,-0.021534003
t76,-0.360164909
t77,0.053598609
t78,-0.093588133
t79,0.114975432
t80,-0.029175286
t81,0.106001095
t82,0.078128215
t83,-0.033271826
t84,0.074417098
t85,-0.128990825
t86,-0.040322257
t87,-0.024968365
t88,0.076191957
t89,-0.105241668
t90,-0.055523823
t91,0.020221485
t92,0.004506229
t93,-0.026885929
t94,0.00362742
t95,0.109926967
t96,0.037602099
t97,-0.241342806
t98,-0.020165243
t99,-0.001337291
t100,0.041615438
t101,-0.003746598
t102,-0.053983585
t103,0.01877467
t104,-0.016683357
t105,0.03292587
t106,0.147650125
t107,0.117123147
t108,0.015678473
t109,0.023093128
t110,-0.084787417
t111,0.129141849
t112,-0.06225281
t113,-0.035994815
t114,-0.098652232
t115,0.250483097
t116,0.001845732
t117,0.049755034
t118,-0.003024976
t119,0.093923421
t120,-0.119140643
t121,0.057862444
t122,0.017601132
t123,-0.109416325
t124,0.016278031
t125,0.001586584
t126,0.025253985
t127,-0.03695415
t128,-0.025393337
t129,0.141382594
t130,-0.003228501
t131,-0.01148978
t132,0.005599351
t133,-0.008639853
t134,-0.015043398
t135,-0.01687817
t136,0.010539424
t137,-0.117255279
t138,-0.003152145
t139,-0.010293641
t140,0.005724189
t141,0.012661372
t142,-0.001114466
t143,0.02245805
t144,0.024508248
t145,-0.047629863
t146,0.080622481
t147,0.121575927
t148,0.027952454
t149,0.079120144
t150,-0.026192022
t151,0.045846045
t152,0.015220005
t153,0.135245616
t154,-0.049340915
t155,0.034993962
t156,-0.03106949
t157,0.020682811
t158,0.022335745
t159,-0.035719628
t160,-0.016071101
t161,0.021949826
t162,0.091599732
t163,0.091599732
