t,i,peso,Lambda,Costo_Mult
t1,SPX,0.0,0.1,Base
t2,SPX,0.0,0.1,Base
t3,SPX,0.0,0.1,Base
t4,SPX,0.0,0.1,Base
t5,SPX,0.0,0.1,Base
t6,SPX,0.0,0.1,Base
t7,SPX,0.0,0.1,Base
t8,SPX,0.0,0.1,Base
t9,SPX,0.0,0.1,Base
t10,SPX,0.0,0.1,Base
t11,SPX,0.0,0.1,Base
t12,SPX,0.0,0.1,Base
t13,SPX,0.0,0.1,Base
t14,SPX,0.0,0.1,Base
t15,SPX,0.0,0.1,Base
t16,SPX,0.0,0.1,Base
t17,SPX,0.0,0.1,Base
t18,SPX,0.0,0.1,Base
t19,SPX,0.0,0.1,Base
t20,SPX,0.0,0.1,Base
t21,SPX,0.0,0.1,Base
t22,SPX,0.0,0.1,Base
t23,SPX,0.0,0.1,Base
t24,SPX,0.0,0.1,Base
t25,SPX,0.0,0.1,Base
t26,SPX,0.0,0.1,Base
t27,SPX,0.0,0.1,Base
t28,SPX,0.0,0.1,Base
t29,SPX,0.0,0.1,Base
t30,SPX,0.0,0.1,Base
t31,SPX,0.0,0.1,Base
t32,SPX,0.0,0.1,Base
t33,SPX,0.0,0.1,Base
t34,SPX,0.0,0.1,Base
t35,SPX,0.0,0.1,Base
t36,SPX,0.0,0.1,Base
t37,SPX,0.0,0.1,Base
t38,SPX,0.0,0.1,Base
t39,SPX,0.0,0.1,Base
t40,SPX,0.0,0.1,Base
t41,SPX,0.0,0.1,Base
t42,SPX,0.0,0.1,Base
t43,SPX,0.0,0.1,Base
t44,SPX,0.0,0.1,Base
t45,SPX,0.0,0.1,Base
t46,SPX,0.0,0.1,Base
t47,SPX,0.0,0.1,Base
t48,SPX,0.0,0.1,Base
t49,SPX,0.0,0.1,Base
t50,SPX,0.0,0.1,Base
t51,SPX,0.0,0.1,Base
t52,SPX,0.0,0.1,Base
t53,SPX,0.0,0.1,Base
t54,SPX,0.0,0.1,Base
t55,SPX,0.0,0.1,Base
t56,SPX,0.0,0.1,Base
t57,SPX,0.0,0.1,Base
t58,SPX,0.0,0.1,Base
t59,SPX,0.0,0.1,Base
t60,SPX,0.0,0.1,Base
t61,SPX,0.0,0.1,Base
t62,SPX,0.0,0.1,Base
t63,SPX,0.0,0.1,Base
t64,SPX,0.0,0.1,Base
t65,SPX,0.0,0.1,Base
t66,SPX,0.0,0.1,Base
t67,SPX,0.0,0.1,Base
t68,SPX,0.0,0.1,Base
t69,SPX,0.0,0.1,Base
t70,SPX,0.0,0.1,Base
t71,SPX,0.0,0.1,Base
t72,SPX,0.0,0.1,Base
t73,SPX,0.0,0.1,Base
t74,SPX,0.0,0.1,Base
t75,SPX,0.0,0.1,Base
t76,SPX,0.0,0.1,Base
t77,SPX,0.0,0.1,Base
t78,SPX,0.0,0.1,Base
t79,SPX,0.0,0.1,Base
t80,SPX,0.0,0.1,Base
t81,SPX,0.0,0.1,Base
t82,SPX,0.0,0.1,Base
t83,SPX,0.0,0.1,Base
t84,SPX,0.0,0.1,Base
t85,SPX,0.0,0.1,Base
t86,SPX,0.0,0.1,Base
t87,SPX,0.0,0.1,Base
t88,SPX,0.0,0.1,Base
t89,SPX,0.0,0.1,Base
t90,SPX,0.0,0.1,Base
t91,SPX,0.0,0.1,Base
t92,SPX,0.0,0.1,Base
t93,SPX,0.0,0.1,Base
t94,SPX,0.0,0.1,Base
t95,SPX,0.0,0.1,Base
t96,SPX,0.0,0.1,Base
t97,SPX,0.0,0.1,Base
t98,SPX,0.0,0.1,Base
t99,SPX,0.0,0.1,Base
t100,SPX,0.0,0.1,Base
t101,SPX,0.0,0.1,Base
t102,SPX,0.0,0.1,Base
t103,SPX,0.0,0.1,Base
t104,SPX,0.0,0.1,Base
t105,SPX,0.0,0.1,Base
t106,SPX,0.0,0.1,Base
t107,SPX,0.0,0.1,Base
t108,SPX,0.0,0.1,Base
t109,SPX,0.0,0.1,Base
t110,SPX,0.0,0.1,Base
t111,SPX,0.0,0.1,Base
t112,SPX,0.0,0.1,Base
t113,SPX,0.0,0.1,Base
t114,SPX,0.0,0.1,Base
t115,SPX,0.0,0.1,Base
t116,SPX,0.0,0.1,Base
t117,SPX,0.0,0.1,Base
t118,SPX,0.0,0.1,Base
t119,SPX,0.0,0.1,Base
t120,SPX,0.0,0.1,Base
t121,SPX,0.0,0.1,Base
t122,SPX,0.0,0.1,Base
t123,SPX,0.0,0.1,Base
t124,SPX,0.0,0.1,Base
t125,SPX,0.0,0.1,Base
t126,SPX,0.0,0.1,Base
t127,SPX,0.0,0.1,Base
t128,SPX,0.0,0.1,Base
t129,SPX,0.0,0.1,Base
t130,SPX,0.0,0.1,Base
t131,SPX,0.0,0.1,Base
t132,SPX,0.0,0.1,Base
t133,SPX,0.0,0.1,Base
t134,SPX,0.0,0.1,Base
t135,SPX,0.0,0.1,Base
t136,SPX,0.0,0.1,Base
t137,SPX,0.0,0.1,Base
t138,SPX,0.0,0.1,Base
t139,SPX,0.0,0.1,Base
t140,SPX,0.0,0.1,Base
t141,SPX,0.0,0.1,Base
t142,SPX,0.0,0.1,Base
t143,SPX,0.0,0.1,Base
t144,SPX,0.0,0.1,Base
t145,SPX,0.0,0.1,Base
t146,SPX,0.0,0.1,Base
t147,SPX,0.0,0.1,Base
t148,SPX,0.0,0.1,Base
t149,SPX,0.0,0.1,Base
t150,SPX,0.0,0.1,Base
t151,SPX,0.0,0.1,Base
t152,SPX,0.0,0.1,Base
t153,SPX,0.0,0.1,Base
t154,SPX,0.0,0.1,Base
t155,SPX,0.0,0.1,Base
t156,SPX,0.0,0.1,Base
t157,SPX,0.0,0.1,Base
t158,SPX,0.0,0.1,Base
t159,SPX,0.0,0.1,Base
t160,SPX,0.0,0.1,Base
t161,SPX,0.0,0.1,Base
t162,SPX,0.0,0.1,Base
t163,SPX,0.0,0.1,Base
t1,CMC200,1.0,0.1,Base
t2,CMC200,1.0,0.1,Base
t3,CMC200,1.0,0.1,Base
t4,CMC200,1.0,0.1,Base
t5,CMC200,1.0,0.1,Base
t6,CMC200,1.0,0.1,Base
t7,CMC200,1.0,0.1,Base
t8,CMC200,1.0,0.1,Base
t9,CMC200,1.0,0.1,Base
t10,CMC200,1.0,0.1,Base
t11,CMC200,1.0,0.1,Base
t12,CMC200,1.0,0.1,Base
t13,CMC200,1.0,0.1,Base
t14,CMC200,1.0,0.1,Base
t15,CMC200,1.0,0.1,Base
t16,CMC200,1.0,0.1,Base
t17,CMC200,1.0,0.1,Base
t18,CMC200,1.0,0.1,Base
t19,CMC200,1.0,0.1,Base
t20,CMC200,1.0,0.1,Base
t21,CMC200,1.0,0.1,Base
t22,CMC200,1.0,0.1,Base
t23,CMC200,1.0,0.1,Base
t24,CMC200,1.0,0.1,Base
t25,CMC200,1.0,0.1,Base
t26,CMC200,1.0,0.1,Base
t27,CMC200,1.0,0.1,Base
t28,CMC200,1.0,0.1,Base
t29,CMC200,1.0,0.1,Base
t30,CMC200,1.0,0.1,Base
t31,CMC200,1.0,0.1,Base
t32,CMC200,1.0,0.1,Base
t33,CMC200,1.0,0.1,Base
t34,CMC200,1.0,0.1,Base
t35,CMC200,1.0,0.1,Base
t36,CMC200,1.0,0.1,Base
t37,CMC200,1.0,0.1,Base
t38,CMC200,1.0,0.1,Base
t39,CMC200,1.0,0.1,Base
t40,CMC200,1.0,0.1,Base
t41,CMC200,1.0,0.1,Base
t42,CMC200,1.0,0.1,Base
t43,CMC200,1.0,0.1,Base
t44,CMC200,1.0,0.1,Base
t45,CMC200,1.0,0.1,Base
t46,CMC200,1.0,0.1,Base
t47,CMC200,1.0,0.1,Base
t48,CMC200,1.0,0.1,Base
t49,CMC200,1.0,0.1,Base
t50,CMC200,1.0,0.1,Base
t51,CMC200,1.0,0.1,Base
t52,CMC200,1.0,0.1,Base
t53,CMC200,1.0,0.1,Base
t54,CMC200,1.0,0.1,Base
t55,CMC200,1.0,0.1,Base
t56,CMC200,1.0,0.1,Base
t57,CMC200,1.0,0.1,Base
t58,CMC200,1.0,0.1,Base
t59,CMC200,1.0,0.1,Base
t60,CMC200,1.0,0.1,Base
t61,CMC200,1.0,0.1,Base
t62,CMC200,1.0,0.1,Base
t63,CMC200,1.0,0.1,Base
t64,CMC200,1.0,0.1,Base
t65,CMC200,1.0,0.1,Base
t66,CMC200,1.0,0.1,Base
t67,CMC200,1.0,0.1,Base
t68,CMC200,1.0,0.1,Base
t69,CMC200,1.0,0.1,Base
t70,CMC200,1.0,0.1,Base
t71,CMC200,1.0,0.1,Base
t72,CMC200,1.0,0.1,Base
t73,CMC200,1.0,0.1,Base
t74,CMC200,1.0,0.1,Base
t75,CMC200,1.0,0.1,Base
t76,CMC200,1.0,0.1,Base
t77,CMC200,1.0,0.1,Base
t78,CMC200,1.0,0.1,Base
t79,CMC200,1.0,0.1,Base
t80,CMC200,1.0,0.1,Base
t81,CMC200,1.0,0.1,Base
t82,CMC200,1.0,0.1,Base
t83,CMC200,1.0,0.1,Base
t84,CMC200,1.0,0.1,Base
t85,CMC200,1.0,0.1,Base
t86,CMC200,1.0,0.1,Base
t87,CMC200,1.0,0.1,Base
t88,CMC200,1.0,0.1,Base
t89,CMC200,1.0,0.1,Base
t90,CMC200,1.0,0.1,Base
t91,CMC200,1.0,0.1,Base
t92,CMC200,1.0,0.1,Base
t93,CMC200,1.0,0.1,Base
t94,CMC200,1.0,0.1,Base
t95,CMC200,1.0,0.1,Base
t96,CMC200,1.0,0.1,Base
t97,CMC200,1.0,0.1,Base
t98,CMC200,1.0,0.1,Base
t99,CMC200,1.0,0.1,Base
t100,CMC200,1.0,0.1,Base
t101,CMC200,1.0,0.1,Base
t102,CMC200,1.0,0.1,Base
t103,CMC200,1.0,0.1,Base
t104,CMC200,1.0,0.1,Base
t105,CMC200,1.0,0.1,Base
t106,CMC200,1.0,0.1,Base
t107,CMC200,1.0,0.1,Base
t108,CMC200,1.0,0.1,Base
t109,CMC200,1.0,0.1,Base
t110,CMC200,1.0,0.1,Base
t111,CMC200,1.0,0.1,Base
t112,CMC200,1.0,0.1,Base
t113,CMC200,1.0,0.1,Base
t114,CMC200,1.0,0.1,Base
t115,CMC200,1.0,0.1,Base
t116,CMC200,1.0,0.1,Base
t117,CMC200,1.0,0.1,Base
t118,CMC200,1.0,0.1,Base
t119,CMC200,1.0,0.1,Base
t120,CMC200,1.0,0.1,Base
t121,CMC200,1.0,0.1,Base
t122,CMC200,1.0,0.1,Base
t123,CMC200,1.0,0.1,Base
t124,CMC200,1.0,0.1,Base
t125,CMC200,1.0,0.1,Base
t126,CMC200,1.0,0.1,Base
t127,CMC200,1.0,0.1,Base
t128,CMC200,1.0,0.1,Base
t129,CMC200,1.0,0.1,Base
t130,CMC200,1.0,0.1,Base
t131,CMC200,1.0,0.1,Base
t132,CMC200,1.0,0.1,Base
t133,CMC200,1.0,0.1,Base
t134,CMC200,1.0,0.1,Base
t135,CMC200,1.0,0.1,Base
t136,CMC200,1.0,0.1,Base
t137,CMC200,1.0,0.1,Base
t138,CMC200,1.0,0.1,Base
t139,CMC200,1.0,0.1,Base
t140,CMC200,1.0,0.1,Base
t141,CMC200,1.0,0.1,Base
t142,CMC200,1.0,0.1,Base
t143,CMC200,1.0,0.1,Base
t144,CMC200,1.0,0.1,Base
t145,CMC200,1.0,0.1,Base
t146,CMC200,1.0,0.1,Base
t147,CMC200,1.0,0.1,Base
t148,CMC200,1.0,0.1,Base
t149,CMC200,1.0,0.1,Base
t150,CMC200,1.0,0.1,Base
t151,CMC200,1.0,0.1,Base
t152,CMC200,1.0,0.1,Base
t153,CMC200,1.0,0.1,Base
t154,CMC200,1.0,0.1,Base
t155,CMC200,1.0,0.1,Base
t156,CMC200,1.0,0.1,Base
t157,CMC200,1.0,0.1,Base
t158,CMC200,1.0,0.1,Base
t159,CMC200,1.0,0.1,Base
t160,CMC200,1.0,0.1,Base
t161,CMC200,1.0,0.1,Base
t162,CMC200,1.0,0.1,Base
t163,CMC200,1.0,0.1,Base
